@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
3912,'2019/09/24 11:29:40:233',44,504.522888,122.671112,22.657412,569.716919,105.405914,34.251747,612.290405,105.188934,37.130463,669.408386,98.367828,37.388229,713.239929,104.153107,32.898468,1
3913,'2019/09/24 11:29:40:287',44,507.901611,116.396881,23.129889,572.263062,99.604736,34.443268,614.933716,99.446014,37.275345,671.06665,93.719971,37.561825,712.411499,100.225464,33.037716,1
3914,'2019/09/24 11:29:40:334',44,513.316956,109.691772,23.695314,578.166565,92.922577,34.68327,622.090759,92.020966,37.458145,676.621704,87.789276,37.507259,714.499023,95.519653,32.887501,1
3915,'2019/09/24 11:29:40:383',44,520.406799,101.559235,24.467806,584.482178,84.414948,35.193146,629.222351,84.522614,37.826015,681.67981,81.675262,37.81546,717.751831,90.14386,33.139908,1
3916,'2019/09/24 11:29:40:435',44,530.717224,96.49649,25.136681,592.416321,80.052399,35.633759,637.569092,79.675232,38.07373,688.88501,75.111816,37.956482,724.553833,83.757111,33.105537,1
3917,'2019/09/24 11:29:40:483',44,544.293884,89.642487,25.96487,606.921753,73.033691,36.082443,652.889954,72.550354,38.208416,702.549194,67.585846,37.815468,737.332031,74.763672,32.729599,1
3918,'2019/09/24 11:29:40:535',44,555.791382,80.399323,26.785355,617.719238,63.348907,36.794735,663.350586,64.979767,38.744888,711.855469,61.341248,38.273941,745.042236,69.628296,33.142933,1
3919,'2019/09/24 11:29:40:584',44,570.46228,73.239288,27.367542,628.46228,54.090576,36.865906,675.555664,54.888153,38.81126,721.366882,54.256653,38.194614,753.678101,62.923767,33.021744,1
3920,'2019/09/24 11:29:40:634',44,577.985474,69.560242,27.771408,634.680298,48.028961,37.008495,682.543579,49.594421,38.885773,726.837524,50.800873,38.23843,758.115662,58.704376,33.036839,1
3921,'2019/09/24 11:29:40:684',44,582.94873,65.706146,27.620474,638.325317,42.778046,36.773361,687.192627,43.933929,38.706284,729.914185,47.45285,38.127571,760.846313,55.032776,32.918381,1
3922,'2019/09/24 11:29:40:735',44,585.33429,64.433105,27.754004,641.285095,39.202271,36.864967,689.127319,42.555237,38.73278,731.713501,46.165009,38.183773,762.197021,53.883545,32.929268,1
3923,'2019/09/24 11:29:40:785',44,587.013245,63.981476,27.854658,643.476135,37.544281,37.009029,692.259644,40.590637,38.892632,733.023315,45.486145,38.278961,763.787659,52.399353,32.980251,1
3924,'2019/09/24 11:29:40:834',44,589.104004,65.234161,27.906483,644.809998,38.860779,37.20433,694.873901,40.687805,39.135372,735.551758,45.536682,38.482162,765.257202,53.28891,33.164608,1
3925,'2019/09/24 11:29:40:885',44,595.114807,69.705139,28.007309,650.435547,43.309998,37.533638,700.037842,46.116943,39.454891,740.320313,51.547058,38.796349,770.591064,57.985657,33.391403,1
3926,'2019/09/24 11:29:40:935',44,600.432739,76.795105,27.849089,656.013794,49.578766,37.260616,705.275146,52.191559,39.183372,746.485718,57.498627,38.517097,776.055237,64.741638,33.144325,1
3927,'2019/09/24 11:29:40:986',44,602.76123,86.441833,27.475254,658.038208,59.644745,37.064907,707.247192,62.764648,39.09021,749.512329,67.332794,38.413044,778.108276,75.281097,33.044865,1
3928,'2019/09/24 11:29:41:035',44,604.738098,107.27063,26.892872,659.844971,82.567993,36.886124,708.661255,85.857178,38.890709,751.840576,89.05246,38.072861,780.315186,95.895538,32.601189,1
3929,'2019/09/24 11:29:41:085',44,606.880737,127.580261,26.218094,662.510498,104.171448,36.38726,711.939758,106.462524,38.324284,754.862671,109.512726,37.339394,783.421143,115.462433,31.805201,1
3930,'2019/09/24 11:29:41:134',44,611.203369,149.640381,25.813551,668.345093,128.19577,36.207829,718.383423,130.412354,38.028591,762.031311,132.135101,36.864922,789.588562,137.711029,31.213648,1
3931,'2019/09/24 11:29:41:186',44,619.007874,173.383636,25.4592,679.594482,152.511993,35.737415,730.003174,155.561066,37.384605,774.932129,155.459412,35.955376,800.206299,161.925293,30.192526,1
3932,'2019/09/24 11:29:41:235',44,623.634277,195.63559,25.18288,685.865479,177.823425,35.787148,737.020386,181.226685,37.265289,781.810791,180.579193,35.679718,806.507507,185.883942,29.784098,1
3933,'2019/09/24 11:29:41:286',44,627.279541,210.617706,24.502586,689.873047,193.402435,35.169403,741.270203,197.120209,36.593533,786.429443,195.732147,34.9193,811.357727,200.856354,29.004669,1
3934,'2019/09/24 11:29:41:336',44,630.667419,224.392365,23.932055,694.385254,209.050079,34.578281,745.092163,214.531647,35.896198,790.595215,213.003387,34.100433,815.342407,218.154938,28.16398,1
3935,'2019/09/24 11:29:41:386',44,631.49823,237.167236,23.793762,695.485107,224.50647,34.406311,745.781738,230.529938,35.589745,791.520874,228.500244,33.702892,816.120605,233.057404,27.727304,1
3936,'2019/09/24 11:29:41:438',44,630.20105,251.924667,22.88192,692.354858,241.022308,33.590515,742.562012,246.589417,34.807613,788.891235,243.658783,32.983917,814.075195,247.695679,27.033787,1
3937,'2019/09/24 11:29:41:487',44,629.635559,263.311279,22.866756,693.092285,252.03685,33.317375,741.093872,259.464539,34.292618,789.204956,255.079453,32.408424,812.374023,260.441711,26.444096,1
3938,'2019/09/24 11:29:41:538',44,632.379028,281.053864,22.868904,692.656006,277.302124,32.914566,736.213867,285.34552,33.616535,784.473511,281.43924,31.736277,808.673584,283.964813,25.900066,1
3939,'2019/09/24 11:29:41:586',44,633.210327,293.486145,22.260258,688.59375,296.07132,31.759245,730.661377,302.405243,32.634712,780.573608,297.429901,30.988325,804.83197,299.582581,25.197229,1
3940,'2019/09/24 11:29:41:637',44,628.149536,312.746948,20.915339,683.640381,315.710846,30.40106,725.266907,322.085938,31.233461,775.155762,317.054688,29.517151,799.246582,319.525848,23.703062,1
3941,'2019/09/24 11:29:41:687',44,625.635254,325.806702,19.429039,679.363281,331.331085,29.167032,721.059814,338.13385,30.023708,770.996277,333.884155,28.358192,796.032349,335.569458,22.611225,1
3942,'2019/09/24 11:29:41:738',44,624.805176,335.135132,18.742455,677.628418,342.510132,28.476885,719.501709,349.803589,29.312141,770.093872,346.074951,27.676336,795.023315,347.433655,21.935431,1
3943,'2019/09/24 11:29:41:786',44,623.00647,346.717865,18.137295,675.186768,355.547974,27.882441,717.703857,363.03363,28.678616,769.580627,359.003571,27.047501,793.712891,359.922668,21.31237,1
3944,'2019/09/24 11:29:41:837',44,621.863281,354.756744,17.884445,675.895142,363.880829,27.601633,719.240601,371.380981,28.25831,769.583557,367.886536,26.39135,793.80957,367.941895,20.660793,1
3945,'2019/09/24 11:29:41:887',44,613.686035,365.095612,15.46944,665.540649,372.209534,26.275024,709.191162,379.193085,27.499643,758.211304,376.869934,25.932201,786.547363,377.30011,20.427677,1
3946,'2019/09/24 11:29:41:937',44,609.68335,370.666748,15.493439,662.224548,377.376404,26.139971,704.903931,384.312775,27.355013,755.158447,383.29657,25.403627,782.48999,384.299072,19.767307,1
3947,'2019/09/24 11:29:41:986',44,612.116516,375.748444,16.131672,669.746826,382.976837,26.306828,713.328613,388.937225,27.132524,761.522095,386.572144,24.758551,796.295837,383.914703,19.082079,1
3948,'2019/09/24 11:29:42:037',44,622.177856,380.107056,18.133766,682.615112,396.791321,27.388563,727.731506,401.292938,27.597483,772.463928,397.083252,24.645117,805.710693,387.58313,19.213364,1
3949,'2019/09/24 11:29:42:088',44,626.134399,377.996735,18.896282,688.358643,394.452118,27.341482,734.061768,397.314728,27.218887,773.630127,395.461639,23.356134,803.09668,386.261261,17.52446,1
3950,'2019/09/24 11:29:42:137',44,625.762146,378.368286,19.889862,688.591614,394.624115,27.740658,733.752441,396.843689,27.515131,772.660034,395.072571,23.527802,798.933655,387.825989,17.357361,1
3951,'2019/09/24 11:29:42:191',44,623.925293,379.089844,20.13341,688.187195,397.160156,27.650295,731.906738,399.787537,27.293631,772.220825,395.761993,23.566944,798.946411,386.917114,17.529598,1
3952,'2019/09/24 11:29:42:237',44,608.308167,381.289459,19.465919,667.715027,399.423859,27.71867,711.140259,402.495239,28.065281,753.515625,399.617126,24.897968,788.123535,389.391632,19.662294,1
3953,'2019/09/24 11:29:42:287',44,601.211609,382.336487,19.233925,660.005249,398.871674,27.927187,703.17041,402.857239,28.343122,746.583618,400.480927,25.344687,781.642212,391.039551,20.258669,1
3954,'2019/09/24 11:29:42:337',44,591.385132,387.318176,20.40612,652.144653,401.610596,29.430761,696.36853,405.276733,29.874641,739.447632,403.338928,26.886875,775.078125,392.961548,21.982054,1
3955,'2019/09/24 11:29:42:388',44,589.893677,389.858429,21.650639,651.860718,408.48645,29.689472,696.01825,413.810364,29.474417,744.640259,407.937073,26.830036,771.60907,399.4664,21.437931,1
3956,'2019/09/24 11:29:42:437',44,595.941162,388.901947,23.232618,656.220825,406.247559,30.341398,703.36908,409.128357,29.919859,748.917603,405.377289,26.041462,765.816162,400.43277,20.022625,1
3957,'2019/09/24 11:29:42:488',44,596.921387,388.846069,23.532312,656.458069,405.778564,30.727846,705.384277,407.328644,30.353497,745.69165,405.903656,26.075766,763.671753,398.980225,20.322222,1
3958,'2019/09/24 11:29:42:538',44,584.50116,386.865723,23.979261,634.533447,405.660095,32.261028,682.64502,410.384033,32.551819,728.222534,408.101196,29.628824,751.289612,403.593109,24.142254,1
3959,'2019/09/24 11:29:42:588',44,568.808899,384.835205,21.788502,617.082153,401.389282,31.630356,663.252441,407.596588,32.955719,708.436401,406.961914,30.991735,743.431335,401.08551,26.667128,1
