@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
128,'2019/09/24 12:26:03:603',2,531.187988,378.072266,32.577324,579.361816,359.490601,48.463238,637.781921,362.32959,50.91518,686.580139,356.510193,48.562412,728.482117,360.202393,42.371449,1
129,'2019/09/24 12:26:03:653',2,523.654785,371.175415,36.848083,580.461792,351.71521,52.241032,637.263306,352.924652,54.714977,685.58728,346.42688,52.342388,728.670654,350.940918,46.329792,1
130,'2019/09/24 12:26:03:703',2,520.64209,363.411133,41.37532,576.925537,343.744568,56.817619,632.52832,344.78302,59.411858,679.737915,339.342773,57.187943,723.964844,344.071167,51.575813,1
131,'2019/09/24 12:26:03:752',2,516.324219,359.286255,44.869793,574.410217,339.785889,60.153648,629.453247,341.547791,62.613525,676.834106,336.064453,60.385227,720.222351,340.812531,54.8363,1
132,'2019/09/24 12:26:03:801',2,510.421265,355.157715,48.134743,568.410278,336.848022,63.425777,622.717896,339.594666,65.862411,670.684937,333.926941,63.766701,714.319946,338.038208,58.305946,1
133,'2019/09/24 12:26:03:856',2,506.376038,352.867188,50.470673,564.706604,335.487305,65.692909,618.744812,338.40332,68.145058,666.874756,332.983612,66.095551,710.542114,336.920593,60.670586,1
134,'2019/09/24 12:26:03:903',2,502.013,352.411926,54.105904,560.769958,336.081879,69.184692,614.752808,338.604034,71.680588,662.302856,333.745789,69.64933,706.27533,337.22879,64.274551,1
135,'2019/09/24 12:26:03:956',2,500.706757,352.670349,56.913231,559.860901,338.03241,71.945213,613.661133,340.70047,74.424706,661.098572,335.714661,72.471779,705.124878,338.902832,67.090286,1
136,'2019/09/24 12:26:04:002',2,500.107056,353.126404,59.375652,560.727905,339.266479,74.283195,614.137695,343.22403,76.605438,661.466125,337.45166,74.725082,705.241211,340.800476,69.313164,1
137,'2019/09/24 12:26:04:070',2,501.307373,352.678711,61.785057,563.686951,339.969116,76.531021,616.555176,344.186859,78.75901,663.272949,338.422974,76.862823,707.001038,341.674377,71.458351,1
138,'2019/09/24 12:26:04:119',2,504.620575,350.332825,64.258896,568.893677,337.698303,78.843849,621.049316,342.610687,80.972748,667.2229,337.638428,79.029587,711.525574,340.585266,73.663734,1
139,'2019/09/24 12:26:04:169',2,505.962524,350.154419,65.412712,571.553101,337.901489,79.92865,622.943298,343.531982,81.97551,668.709717,338.686707,79.966331,712.21637,342.084412,74.465485,1
140,'2019/09/24 12:26:04:219',2,508.558655,350.180603,66.44603,574.681213,337.497009,80.830688,625.515869,342.958984,82.815811,668.403625,338.703186,80.568405,713.605347,341.863892,75.064384,1
141,'2019/09/24 12:26:04:269',2,509.34613,349.741028,66.573143,575.185059,337.543304,80.953003,625.733398,343.081726,82.911682,668.142822,338.713867,80.626015,713.283203,342.019501,75.07222,1
142,'2019/09/24 12:26:04:320',2,513.042114,346.839966,66.1922,577.415588,336.315857,80.712074,627.522644,341.381287,82.725136,669.344116,337.179718,80.363838,714.572937,340.132813,74.776489,1
143,'2019/09/24 12:26:04:369',2,516.761841,344.5495,64.725197,578.797241,334.142578,79.315453,629.268799,338.714844,81.374741,671.013184,334.179169,79.038887,716.923645,336.767029,73.531227,1
144,'2019/09/24 12:26:04:427',2,521.394592,343.786987,61.741653,578.916077,332.995544,76.417297,629.820068,335.562134,78.610504,672.030151,330.614563,76.32019,718.699707,331.957458,70.899323,1
145,'2019/09/24 12:26:04:471',2,529.153687,343.339844,58.344395,582.388367,331.875549,72.978516,633.828125,332.144226,75.197861,676.380737,325.804291,72.956009,722.833923,325.96225,67.502083,1
146,'2019/09/24 12:26:04:521',2,546.582581,336.929993,53.113503,587.501709,330.755615,67.304588,639.718018,329.889343,69.464874,683.444824,322.638275,67.257477,728.707764,322.509644,61.708981,1
147,'2019/09/24 12:26:04:570',2,553.53949,334.640533,48.928112,591.317444,330.736023,62.850346,644.295959,329.572052,64.972069,688.348938,322.545074,62.703171,732.884277,322.797546,57.05492,1
148,'2019/09/24 12:26:04:621',2,559.381348,334.061768,44.514263,595.145752,329.124146,58.304028,648.601135,327.389282,60.465614,692.865845,320.95343,58.111694,737.300354,322.268005,52.439148,1
149,'2019/09/24 12:26:04:671',2,564.013184,333.156372,40.824135,598.536194,328.955658,54.575634,652.407776,327.791687,56.710758,697.006226,321.875397,54.284332,741.084473,323.910706,48.552746,1
150,'2019/09/24 12:26:04:720',2,568.4646,332.480103,37.401466,601.835327,329.283142,51.19986,656.140137,327.982971,53.43663,701.133423,322.89856,51.022789,745.291443,325.141907,45.287811,1
151,'2019/09/24 12:26:04:772',2,571.775085,334.115234,33.565857,601.062256,330.909241,47.647232,656.692749,328.278015,50.306839,701.863647,323.670959,47.986229,746.951233,325.490967,42.377216,1
152,'2019/09/24 12:26:04:821',2,570.460449,333.868103,32.349091,599.739136,330.483521,46.608105,656.9021,328.046448,49.401863,702.583496,324.149109,47.089523,746.783813,326.346924,41.426033,1
153,'2019/09/24 12:26:04:874',2,569.094849,333.822357,32.368858,598.830078,329.446899,46.666367,656.847534,327.062134,49.465839,703.134338,323.612091,47.117001,746.540527,326.51535,41.393974,1
154,'2019/09/24 12:26:04:922',2,566.437622,332.283936,33.209496,596.675659,326.41748,47.619755,655.203857,324.23114,50.453018,701.287842,321.459656,48.037037,744.674683,324.956116,42.302116,1
155,'2019/09/24 12:26:04:972',2,563.717102,328.588074,36.5812,597.382446,320.84433,50.965538,655.792908,318.81485,53.565426,701.779419,316.421051,50.998459,744.189148,320.60498,45.146561,1
